ticker,company
ARRY,Array Technologies Inc.
BE,Bloom Energy Corporation
BEPC,Brookfield Renewable Corporation
CSIQ,Canadian Solar Inc.
ENS,EnerSys
ENPH,Enphase Energy Inc.
FSLR,First Solar Inc.
FLNC,Fluence Energy Inc.
FTCI,FTC Solar Inc.
GNRC,Generac Holdings Inc.
HASI,HA Sustainable Infrastructure Capital Inc.
NEE,NextEra Energy Inc.
PLUG,Plug Power Inc.
SHLS,Shoals Technologies Group Inc.
SEDG,SolarEdge Technologies Inc.
NOVA,Sunnova Energy International Inc.
SPWR,SunPower Corporation
TPIC,TPI Composites Inc.
